"split","fold","threshold","specificity","sensitivity","fpr","tpr"
"training","overall",0.0931616108251659,0.205035971223022,0.984126984126984,0.794964028776978,0.984126984126984
"training","overall",0.0936334658125042,0.20863309352518,0.984126984126984,0.79136690647482,0.984126984126984
"training","overall",0.0943510936268338,0.212230215827338,0.984126984126984,0.787769784172662,0.984126984126984
"training","overall",0.0952173986103751,0.215827338129496,0.984126984126984,0.784172661870504,0.984126984126984
"training","overall",0.0961714806376657,0.219424460431655,0.984126984126984,0.780575539568345,0.984126984126984
"training","overall",0.0967070093737664,0.223021582733813,0.984126984126984,0.776978417266187,0.984126984126984
"training","overall",0.0969525090530225,0.226618705035971,0.984126984126984,0.773381294964029,0.984126984126984
"training","overall",0.0976433507438881,0.23021582733813,0.984126984126984,0.76978417266187,0.984126984126984
"training","overall",0.0982491801155408,0.233812949640288,0.984126984126984,0.766187050359712,0.984126984126984
"training","overall",0.0988148307770174,0.237410071942446,0.984126984126984,0.762589928057554,0.984126984126984
"training","overall",0.099577630986163,0.241007194244604,0.984126984126984,0.758992805755396,0.984126984126984
"training","overall",0.100142526005384,0.244604316546763,0.984126984126984,0.755395683453237,0.984126984126984
"training","overall",0.10066862786003,0.248201438848921,0.984126984126984,0.751798561151079,0.984126984126984
"training","overall",0.100962475922861,0.251798561151079,0.984126984126984,0.748201438848921,0.984126984126984
"training","overall",0.101426490284568,0.255395683453237,0.984126984126984,0.744604316546763,0.984126984126984
"training","overall",0.102059688514832,0.258992805755396,0.984126984126984,0.741007194244604,0.984126984126984
"training","overall",0.102420217121442,0.262589928057554,0.984126984126984,0.737410071942446,0.984126984126984
"training","overall",0.102718468769901,0.266187050359712,0.984126984126984,0.733812949640288,0.984126984126984
"training","overall",0.103456222837997,0.26978417266187,0.984126984126984,0.73021582733813,0.984126984126984
"training","overall",0.104165166147303,0.273381294964029,0.984126984126984,0.726618705035971,0.984126984126984
"training","overall",0.104999672230354,0.276978417266187,0.984126984126984,0.723021582733813,0.984126984126984
"training","overall",0.106715383662053,0.276978417266187,0.98015873015873,0.723021582733813,0.98015873015873
"training","overall",0.108075046533344,0.280575539568345,0.98015873015873,0.719424460431655,0.98015873015873
"training","overall",0.109247441437904,0.284172661870504,0.98015873015873,0.715827338129496,0.98015873015873
"training","overall",0.110394327190183,0.287769784172662,0.98015873015873,0.712230215827338,0.98015873015873
"training","overall",0.111320989514707,0.29136690647482,0.98015873015873,0.70863309352518,0.98015873015873
"training","overall",0.112352830347009,0.294964028776978,0.98015873015873,0.705035971223022,0.98015873015873
"training","overall",0.112917772278203,0.298561151079137,0.98015873015873,0.701438848920863,0.98015873015873
"training","overall",0.113149682250608,0.302158273381295,0.98015873015873,0.697841726618705,0.98015873015873
"training","overall",0.11350268444665,0.305755395683453,0.98015873015873,0.694244604316547,0.98015873015873
"training","overall",0.115597049143763,0.305755395683453,0.976190476190476,0.694244604316547,0.976190476190476
"training","overall",0.118058373830188,0.309352517985612,0.976190476190476,0.690647482014388,0.976190476190476
"training","overall",0.118781952747889,0.31294964028777,0.976190476190476,0.68705035971223,0.976190476190476
"training","overall",0.120056038465332,0.316546762589928,0.976190476190476,0.683453237410072,0.976190476190476
"training","overall",0.121397077675368,0.320143884892086,0.976190476190476,0.679856115107914,0.976190476190476
"training","overall",0.121644922851069,0.323741007194245,0.976190476190476,0.676258992805755,0.976190476190476
"training","overall",0.12209067735753,0.327338129496403,0.976190476190476,0.672661870503597,0.976190476190476
"training","overall",0.12262426797954,0.330935251798561,0.976190476190476,0.669064748201439,0.976190476190476
"training","overall",0.122825388286678,0.334532374100719,0.976190476190476,0.665467625899281,0.976190476190476
"training","overall",0.122984087682057,0.338129496402878,0.976190476190476,0.661870503597122,0.976190476190476
"training","overall",0.123317067512959,0.341726618705036,0.976190476190476,0.658273381294964,0.976190476190476
"training","overall",0.123925164163624,0.345323741007194,0.976190476190476,0.654676258992806,0.976190476190476
"training","overall",0.124710053908591,0.345323741007194,0.972222222222222,0.654676258992806,0.972222222222222
"training","overall",0.12557482221717,0.348920863309353,0.972222222222222,0.651079136690647,0.972222222222222
"training","overall",0.126474728220719,0.352517985611511,0.972222222222222,0.647482014388489,0.972222222222222
"training","overall",0.126951533870848,0.356115107913669,0.972222222222222,0.643884892086331,0.972222222222222
"training","overall",0.127758901655168,0.359712230215827,0.972222222222222,0.640287769784173,0.972222222222222
"training","overall",0.128654631518944,0.363309352517986,0.972222222222222,0.636690647482014,0.972222222222222
"training","overall",0.128889186472863,0.366906474820144,0.972222222222222,0.633093525179856,0.972222222222222
